Date,Location (according to buggy OCR)
12/12/2015,3000 COLL'EGE AVE
12/12/2015,2400 PROSPECT ST
12/13/2015,1700 HOPKINS ST
12/13/2015,HARMON ST/ADELINE ST
12/13/2015,1600 BERKELEY WAY
12/13/2015,2300 WARRING ST
12/13/2015,2500 DU RANT AVE
12/13/2015,2400 STUART ST
12/13/2015,2600 REGENT ST
12/13/2015,1800 VIRGINIA ST
12/13/2015,1900 HASTE ST
12/14/2015,900 HEINZ AVE
12/14/2015,2300 FULTON ST
12/14/2015,2300 TELEGRAPH AVE
12/15/2015,2000 DELAWARE ST
12/15/2015,1900 SAN PABLO AVE
12/15/2015,2100 ALLSTON WAY
12/15/2015,1300 ADDISON ST
12/15/2015,1000 PARDEE ST
12/15/2015,2700 BANCROFT WAY
12/15/2015,1700 UNIVERSITY AVE
12/15/2015,1700 STUART ST
12/15/2015,GRIZZLY PEAK BLVD / SHASTA RD
12/16/2015,1700 UNIVERSITY AVE
12/16/2015,2000 UNIVERSITY AVE
12/16/2015,2300 FULTON ST
12/16/2015,TELEGRAPH AVE / DURANT AVE
12/16/2015,2300 ELLSWORTH ST
12/16/2015,2400 WARRING ST
12/17/2015,2000 HEARST AVE
12/17/2015,2000 DELAWARE ST
12/17/2015,2100 BROWNING ST
12/17/2015,1600 LA LOMA AVE
12/18/2015,2500 HILLEGASS AVE
12/18/2015,2500 HILLEGASS AVE
12/18/2015,1300 ADDISON ST
12/18/2015,2000 KITTREDGE ST
12/18/2015,1000 UNIVERSITY AVE
12/18/2015,1500 FAIRVIEW ST
12/18/2015,1000 UNIVERSITY AVE
12/18/2015,2000 HEARST AVE
12/18/2015,1600 FAIRVIEW ST
12/18/2015,1700 UNIVERSITY AVE
12/19/2015,2200 BLAKE ST
12/19/2015,2800 DERBY ST
12/19/2015,2400 PROSPECT ST
12/19/2015,3100 COLLEGE AVE
12/19/2015,2300 DWIGHT WAY
12/19/2015,KAINS AVE / PAGE ST
12/19/2015,1200 HEARST AVE
12/19/2015,2100 SHATTUCK AVE
12/19/2015,2500 LE CONTE AVE
